Threshold,Time(ms)
0,1002245
10000,3068
20000,2426
30000,2758
40000,2360
50000,2268
60000,2092
70000,2037
80000,1920
90000,1893
100000,1676
110000,2217
120000,1922
130000,2743
140000,1783
150000,2310
160000,2452
170000,2729
180000,1515
190000,1851
200000,1723
210000,2020
220000,1497
230000,1524
240000,2142
250000,1493
260000,1596
270000,1360
280000,1299
290000,1239
300000,1323
310000,1369
320000,1233
330000,1179
340000,1112
350000,1134
360000,1240
370000,1235
380000,1194
390000,1075
400000,1175
410000,1096
420000,1214
430000,1161
440000,1113
450000,1177
460000,1131
470000,1103
480000,1134
490000,966
500000,998
510000,1084
520000,1090
530000,1131
540000,1058
550000,1080
560000,1070
570000,1059
580000,1086
590000,1035
600000,1089
610000,1138
620000,1036
630000,994
640000,965
650000,966
660000,933
670000,946
680000,967
690000,935
700000,956
710000,932
720000,920
730000,855
740000,977
750000,973
760000,991
770000,882
780000,934
790000,891
800000,897
810000,875
820000,948
830000,884
840000,931
850000,878
860000,897
870000,894
880000,864
890000,942
900000,881
910000,919
920000,846
930000,883
940000,919
950000,802
960000,925
970000,870
980000,890
990000,866
1000000,884
1010000,826
1020000,919
1030000,870
1040000,873
1050000,928
1060000,863
1070000,900
1080000,869
1090000,897
1100000,863
1110000,933
1120000,857
1130000,907
1140000,917
1150000,870
1160000,873
1170000,917
1180000,849
1190000,876
1200000,882
1210000,860
1220000,900
1230000,881
1240000,899
1250000,843
1260000,883
1270000,814
1280000,870
1290000,901
1300000,855
1310000,796
1320000,885
1330000,845
1340000,804
1350000,870
1360000,897
1370000,856
1380000,871
1390000,890
1400000,841
1410000,893
1420000,935
1430000,840
1440000,1016
1450000,870
1460000,828
1470000,908
1480000,850
1490000,844
1500000,884
1510000,843
1520000,851
1530000,902
1540000,832
1550000,831
1560000,867
1570000,788
1580000,901
1590000,794
1600000,936
1610000,863
1620000,899
1630000,923
1640000,857
1650000,801
1660000,915
1670000,980
1680000,840
1690000,859
1700000,898
1710000,856
1720000,881
1730000,852
1740000,814
1750000,832
1760000,801
1770000,957
1780000,889
1790000,838
1800000,793
1810000,889
1820000,812
1830000,872
1840000,874
1850000,871
1860000,812
1870000,1176
1880000,945
1890000,806
1900000,876
1910000,797
1920000,948
1930000,878
1940000,928
1950000,834
1960000,826
1970000,1010
1980000,1016
1990000,894
2000000,867
2010000,821
2020000,865
2030000,989
2040000,830
2050000,897
2060000,859
2070000,881
2080000,825
2090000,915
2100000,860
2110000,849
2120000,820
2130000,893
2140000,851
2150000,858
2160000,826
2170000,811
2180000,816
2190000,832
2200000,910
2210000,924
2220000,853
2230000,845
2240000,888
2250000,867
2260000,828
2270000,858
2280000,860
2290000,834
2300000,816
2310000,864
2320000,863
2330000,796
2340000,835
2350000,854
2360000,874
2370000,842
2380000,842
2390000,828
2400000,873
2410000,882
2420000,833
2430000,876
2440000,811
2450000,831
2460000,844
2470000,845
2480000,809
2490000,797
2500000,1066
2510000,1141
2520000,1034
2530000,1020
2540000,1056
2550000,1031
2560000,1071
2570000,1024
2580000,1104
2590000,1014
2600000,997
2610000,1059
2620000,989
2630000,1011
2640000,1007
2650000,1021
2660000,1070
2670000,1030
2680000,1078
2690000,1028
2700000,1025
2710000,1047
2720000,1096
2730000,1057
2740000,991
2750000,1021
2760000,1027
2770000,1063
2780000,1063
2790000,1094
2800000,1032
2810000,1059
2820000,975
2830000,1066
2840000,1082
2850000,993
2860000,1039
2870000,1046
2880000,990
2890000,1044
2900000,1065
2910000,1059
2920000,1069
2930000,1002
2940000,1035
2950000,1051
2960000,1037
2970000,1018
2980000,1051
2990000,1048
3000000,1033
3010000,1049
3020000,1070
3030000,1051
3040000,1049
3050000,1064
3060000,1064
3070000,1045
3080000,1019
3090000,1104
3100000,1027
3110000,1002
3120000,1003
3130000,1031
3140000,1002
3150000,1067
3160000,1040
3170000,1063
3180000,1017
3190000,1077
3200000,989
3210000,1085
3220000,1056
3230000,1030
3240000,1011
3250000,1032
3260000,1008
3270000,1085
3280000,1049
3290000,964
3300000,1046
3310000,1005
3320000,1022
3330000,1030
3340000,1023
3350000,1022
3360000,1017
3370000,1014
3380000,1054
3390000,1043
3400000,1030
3410000,1030
3420000,1092
3430000,1023
3440000,1043
3450000,1016
3460000,1036
3470000,1007
3480000,1060
3490000,1069
3500000,1007
3510000,985
3520000,1024
3530000,1085
3540000,1064
3550000,1025
3560000,1024
3570000,1055
3580000,1027
3590000,1005
3600000,1038
3610000,1029
3620000,1047
3630000,1041
3640000,976
3650000,1016
3660000,1014
3670000,1000
3680000,1057
3690000,1074
3700000,1027
3710000,1014
3720000,1059
3730000,1023
3740000,1004
3750000,1128
3760000,998
3770000,1044
3780000,1017
3790000,1078
3800000,1077
3810000,1017
3820000,1033
3830000,1023
3840000,1005
3850000,1028
3860000,1041
3870000,1089
3880000,1003
3890000,1049
3900000,1031
3910000,1063
3920000,1096
3930000,1045
3940000,1077
3950000,1094
3960000,1037
3970000,994
3980000,1136
3990000,1098
4000000,1039
4010000,1054
4020000,1055
4030000,1030
4040000,1035
4050000,1024
4060000,1036
4070000,1100
4080000,1021
4090000,1050
4100000,1011
4110000,1021
4120000,1043
4130000,1075
4140000,1038
4150000,1018
4160000,1030
4170000,1028
4180000,1053
4190000,1084
4200000,1102
4210000,1114
4220000,1093
4230000,1070
4240000,1034
4250000,1079
4260000,1034
4270000,1083
4280000,1065
4290000,1073
4300000,1037
4310000,1037
4320000,1020
4330000,1043
4340000,1071
4350000,1017
4360000,985
4370000,1042
4380000,1030
4390000,1016
4400000,1034
4410000,1055
4420000,1018
4430000,1099
4440000,994
4450000,1054
4460000,1043
4470000,1055
4480000,1022
4490000,1001
4500000,1025
4510000,1114
4520000,1067
4530000,1013
4540000,1096
4550000,1014
4560000,995
4570000,1091
4580000,1045
4590000,1009
4600000,1058
4610000,1036
4620000,1047
4630000,1074
4640000,1001
4650000,1076
4660000,1061
4670000,1011
4680000,1063
4690000,980
4700000,1007
4710000,1044
4720000,1123
4730000,996
4740000,1072
4750000,1036
4760000,1020
4770000,1033
4780000,1032
4790000,1071
4800000,975
4810000,1035
4820000,1025
4830000,1012
4840000,1032
4850000,1111
4860000,1044
4870000,1039
4880000,1070
4890000,1006
4900000,983
4910000,1039
4920000,1031
4930000,1057
4940000,1072
4950000,1023
4960000,1064
4970000,1003
4980000,1084
4990000,1057
