Threshold,Time(ms)
0,374912
10000,1423
20000,899
30000,692
40000,592
50000,559
60000,544
70000,516
80000,452
90000,475
100000,449
110000,458
120000,411
130000,398
140000,437
150000,408
160000,408
170000,379
180000,401
190000,405
200000,383
210000,380
220000,366
230000,376
240000,368
250000,355
260000,371
270000,375
280000,364
290000,367
300000,362
310000,377
320000,372
330000,367
340000,358
350000,372
360000,361
370000,392
380000,349
390000,350
400000,349
410000,355
420000,356
430000,497
440000,377
450000,387
460000,415
470000,351
480000,378
490000,350
500000,371
510000,366
520000,352
530000,380
540000,344
550000,366
560000,351
570000,356
580000,365
590000,377
600000,363
610000,383
620000,350
630000,374
640000,367
650000,393
660000,372
670000,381
680000,431
690000,416
700000,362
710000,387
720000,379
730000,375
740000,363
750000,374
760000,392
770000,377
780000,401
790000,384
800000,386
810000,372
820000,370
830000,381
840000,373
850000,412
860000,371
870000,367
880000,370
890000,373
900000,375
910000,373
920000,371
930000,397
940000,399
950000,406
960000,422
970000,406
980000,393
990000,397
1000000,431
1010000,426
1020000,410
1030000,396
1040000,401
1050000,434
1060000,465
1070000,438
1080000,436
1090000,419
1100000,410
1110000,415
1120000,401
1130000,401
1140000,404
1150000,407
1160000,430
1170000,415
1180000,398
1190000,407
1200000,422
1210000,398
1220000,410
1230000,415
1240000,409
1250000,401
1260000,395
1270000,404
1280000,403
1290000,418
1300000,404
1310000,461
1320000,430
1330000,405
1340000,397
1350000,398
1360000,426
1370000,424
1380000,422
1390000,429
1400000,424
1410000,422
1420000,410
1430000,455
1440000,443
1450000,428
1460000,463
1470000,447
1480000,463
1490000,445
1500000,441
1510000,449
1520000,445
1530000,436
1540000,442
1550000,446
1560000,442
1570000,441
1580000,435
1590000,438
1600000,445
1610000,441
1620000,446
1630000,443
1640000,431
1650000,447
1660000,438
1670000,422
1680000,428
1690000,449
1700000,463
1710000,435
1720000,449
1730000,439
1740000,449
1750000,458
1760000,438
1770000,453
1780000,437
1790000,441
1800000,447
1810000,427
1820000,454
1830000,453
1840000,458
1850000,459
1860000,455
1870000,474
1880000,446
1890000,463
1900000,445
1910000,445
1920000,453
1930000,445
1940000,456
1950000,435
1960000,450
1970000,449
1980000,470
1990000,458
2000000,457
2010000,447
2020000,479
2030000,444
2040000,454
2050000,451
2060000,443
2070000,439
2080000,467
2090000,462
2100000,450
2110000,461
2120000,465
2130000,457
2140000,454
2150000,442
2160000,448
2170000,456
2180000,450
2190000,456
2200000,451
2210000,459
2220000,554
2230000,543
2240000,535
2250000,541
2260000,530
2270000,520
2280000,536
2290000,531
2300000,533
2310000,529
2320000,540
2330000,525
2340000,527
2350000,540
2360000,542
2370000,552
2380000,540
2390000,531
2400000,519
2410000,548
2420000,540
2430000,559
2440000,558
2450000,554
2460000,537
2470000,554
2480000,541
2490000,539
2500000,527
2510000,546
2520000,546
2530000,565
2540000,537
2550000,534
2560000,533
2570000,538
2580000,538
2590000,526
2600000,533
2610000,554
2620000,553
2630000,529
2640000,551
2650000,533
2660000,530
2670000,547
2680000,530
2690000,538
2700000,536
2710000,535
2720000,525
2730000,544
2740000,544
2750000,533
2760000,528
2770000,566
2780000,538
2790000,528
2800000,550
2810000,535
2820000,545
2830000,526
2840000,540
2850000,532
2860000,537
2870000,577
2880000,558
2890000,536
2900000,525
2910000,549
2920000,543
2930000,554
2940000,529
2950000,549
2960000,556
2970000,523
2980000,522
2990000,536
3000000,536
3010000,545
3020000,544
3030000,518
3040000,530
3050000,544
3060000,526
3070000,540
3080000,527
3090000,537
3100000,530
3110000,532
3120000,539
3130000,537
3140000,532
3150000,543
3160000,538
3170000,546
3180000,576
3190000,525
3200000,553
3210000,539
3220000,560
3230000,528
3240000,523
3250000,544
3260000,542
3270000,536
3280000,534
3290000,530
3300000,532
3310000,545
3320000,531
3330000,533
3340000,527
3350000,544
3360000,548
3370000,529
3380000,564
3390000,550
3400000,527
3410000,536
3420000,528
3430000,527
3440000,557
3450000,550
3460000,522
3470000,537
3480000,541
3490000,533
3500000,519
3510000,546
3520000,527
3530000,524
3540000,645
3550000,632
3560000,611
3570000,702
3580000,709
3590000,703
3600000,741
3610000,707
3620000,714
3630000,709
3640000,708
3650000,711
3660000,695
3670000,716
3680000,717
3690000,702
3700000,723
3710000,722
3720000,728
3730000,719
3740000,733
3750000,717
3760000,763
3770000,771
3780000,727
3790000,709
3800000,725
3810000,713
3820000,729
3830000,732
3840000,711
3850000,701
3860000,727
3870000,699
3880000,697
3890000,733
3900000,698
3910000,705
3920000,701
3930000,701
3940000,681
3950000,683
3960000,699
3970000,711
3980000,701
3990000,718
4000000,726
4010000,697
4020000,719
4030000,694
4040000,708
4050000,703
4060000,712
4070000,719
4080000,692
4090000,733
4100000,699
4110000,689
4120000,695
4130000,718
4140000,705
4150000,734
4160000,705
4170000,704
4180000,704
4190000,699
4200000,691
4210000,682
4220000,732
4230000,730
4240000,699
4250000,707
4260000,707
4270000,728
4280000,703
4290000,710
4300000,710
4310000,712
4320000,705
4330000,699
4340000,724
4350000,699
4360000,714
4370000,716
4380000,725
4390000,697
4400000,704
4410000,706
4420000,725
4430000,715
4440000,686
4450000,712
4460000,701
4470000,705
4480000,704
4490000,726
4500000,734
4510000,705
4520000,695
4530000,702
4540000,694
4550000,700
4560000,729
4570000,697
4580000,704
4590000,698
4600000,699
4610000,700
4620000,724
4630000,713
4640000,691
4650000,714
4660000,723
4670000,730
4680000,696
4690000,686
4700000,730
4710000,716
4720000,706
4730000,707
4740000,693
4750000,703
4760000,692
4770000,682
4780000,697
4790000,700
4800000,693
4810000,711
4820000,702
4830000,708
4840000,691
4850000,701
4860000,710
4870000,711
4880000,692
4890000,690
4900000,705
4910000,732
4920000,694
4930000,712
4940000,692
4950000,714
4960000,688
4970000,692
4980000,714
4990000,686
